what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769726300876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726308965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726337940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769726359390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726363575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726392179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726467755
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726470089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726472602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726509636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726521176
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726522546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726532852
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726537807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726538846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726546046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726555786
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726558585
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1769726558633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769726615922
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769726621166
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769726621405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769726763620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726765818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726815181
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769726815208
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726888122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726891582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726899017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726901330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1769726901349
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769726904018
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769726911922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726925853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726939764
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769726946438
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769726960057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726960417
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726960570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726964920
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769726965783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769726967558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726973063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769726975183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769726975253
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769726982763
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769726982972
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769726990217
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769726990473
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727054434
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769727077346
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769727165631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769727166267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769727166817
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727168954
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727195579
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727206158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769727209232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727223874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769727225950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727267702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727271728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727286816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769727295547
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769727325097
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727326537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1769727347290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727353458
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727356110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727408203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727435767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769727438935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769727448386
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769727450766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727463019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727467752
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727467771
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727487318
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727500577
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1769727509375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727514248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727520531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727536421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769727539135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727570929
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1769727573766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727585662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727585898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727599789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727624949
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727632678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769727635390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727683721
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727698194
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727698215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.newEditor",1769727698215
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769727705919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727717518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727727435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1769727727445
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727737812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769727752231
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769727754739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727756702
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727760121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727760154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1769727760158
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727760180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727768841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769727775805
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727775937
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769727775960
