what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769717542714
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769717562673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717566854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717582940
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717583298
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717583355
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769717586990
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717590348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717617662
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717618005
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717618053
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717619742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717621308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717636464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769717640297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769717646082
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717648151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717651142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717667901
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769717674408
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769717678178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769717684722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717687875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717705680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717707713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717723862
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717726842
error,log,,,"Internal Error",1769717728748
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769717733147
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717735756
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769717737402
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769717737677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769717785739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718513893
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1769718522912
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1769718522989
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1769718523037
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1769718524167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718524313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718526292
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1769718526507
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769718542066
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769718885001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718892255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718907063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718907097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718954882
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769718957773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769719605714
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769719619462
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719619754
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769719663819
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719664791
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719672632
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719675444
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719678959
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719682279
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719690245
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769719692976
