what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769740809520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740812733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740816956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769740819747
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769740830869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740830902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740835844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740835947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740838010
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1769740838349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740838496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740848393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740887723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740892263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769740894444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741038314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741041562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741137462
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769741145596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741177676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741189034
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769741189151
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769741189167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769741193670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741259096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741260556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769741278640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741281229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741327277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769741329784
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769741375107
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769741375293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769741381167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741382948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741429261
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769741437151
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769741437387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769741445323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741491997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741593480
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769741603008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769741617404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741620119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741627317
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769741627484
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1769741627732
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1769741627736
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1769741627738
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1769741627746
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1769741627746
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1769741627752
