what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746016420
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ProjectsView",1769746021822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.collapseAll",1769746027161
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746035714
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ProjectsView",1769746047754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746050570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746053261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746055775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746064610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746066526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746079992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746088257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746095891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746100241
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746160253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746165739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746167257
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.MembersView",1769746167390
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1769746167490
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769746167499
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.resetPerspective",1769746167745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746171594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746175222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746177607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746287242
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.MembersView",1769746309355
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ProjectsView",1769746309374
closed,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.MembersView",1769746309383
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackagesView",1769746315706
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.TypesView",1769746319062
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746319280
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746319327
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769746324895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746324909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746328590
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769746328848
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769746345179
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746369089
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackagesView",1769746373251
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.TypesView",1769746374795
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746375036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746381307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746439149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769746451858
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769746452027
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769746455835
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackagesView",1769746466646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746484693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746489895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769746491937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746493842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746502189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746503727
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746506298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746508355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769746617239
